slug,section_title,step_title,body,sort
sleepless,SLEEPLESS Manual,설치하기,GitHub Releases 또는 MAC OS용 다운로드 버튼에서 Apple Silicon Mac용 DMG를 받은 뒤 Sleepless.app을 Applications 폴더로 옮겨주세요.,1
sleepless,SLEEPLESS Manual,처음 실행 허용하기,"개인이 테스트 배포하는 빌드라 아직 Apple 공식 개발자 서명과 공증이 적용되어 있지 않습니다. 안전한 배포 절차를 준비 중이니 처음 실행 시 macOS 보안 안내가 나타날 수 있습니다. 먼저 Done을 눌러 경고창을 닫고, System Settings > Privacy & Security에서 Open Anyway를 선택해주세요. 완료를 누른 뒤 시스템 설정 > 개인정보 보호 및 보안에서 그래도 열기를 선택하면 실행할 수 있습니다. macOS 버전에 따라 버튼 이름이 조금 다를 수 있습니다.",2
sleepless,SLEEPLESS Manual,전원 연결 확인하기,SLEEPLESS는 AC 전원 연결 상태에서만 awake mode를 켤 수 있습니다. 전원이 빠지면 배터리 보호를 위해 모드가 자동으로 종료됩니다.,3
sleepless,SLEEPLESS Manual,잠자기 방지 켜기,메뉴바의 8bit 유령 아이콘에서 잠자기 방지를 켭니다. 처음 켤 때는 closed-lid sleep 제어를 위한 관리자 인증이 한 번 필요할 수 있습니다.,4
sleepless,SLEEPLESS Manual,유지 시간 고르기,"닫힌 상태 유지 시간을 10분, 30분, 1시간, 영구 중에서 고를 수 있습니다. 뚜껑을 닫으면 밝기를 0으로 낮추고, 다시 열거나 모드를 끄면 이전 밝기를 복구합니다.",5
sleepless,SLEEPLESS Manual,문제 시 복구하기,앱이 비정상 종료된 뒤 닫힘 잠자기가 돌아오지 않으면 터미널에서 sudo pmset -c disablesleep 0 명령으로 macOS 기본 전원 설정을 복구할 수 있습니다.,6
ffmochi,ffMOCHI Manual,설치하기,MAC OS용 다운로드 버튼에서 ffMOCHI-local.dmg를 받은 뒤 ffMOCHI.app을 Applications 폴더로 드래그해주세요.,1
ffmochi,ffMOCHI Manual,처음 실행 허용하기,"개인이 테스트 배포하는 빌드라 아직 Apple 공식 개발자 서명과 공증이 적용되어 있지 않습니다. 안전한 배포 절차를 준비 중이니 처음 실행 시 macOS 보안 안내가 나타날 수 있습니다. 먼저 Done을 눌러 경고창을 닫고, System Settings > Privacy & Security에서 Open Anyway를 선택해주세요. 완료를 누른 뒤 시스템 설정 > 개인정보 보호 및 보안에서 그래도 열기를 선택하면 실행할 수 있습니다. macOS 버전에 따라 버튼 이름이 조금 다를 수 있습니다.",2
ffmochi,ffMOCHI Manual,FFmpeg 준비하기,ffMOCHI는 로컬 FFmpeg로 영상을 압축합니다. 앱에 설치 안내가 보이면 Homebrew에서 brew install ffmpeg를 실행한 뒤 CHECK AGAIN을 눌러주세요.,3
ffmochi,ffMOCHI Manual,영상 넣고 시작하기,MP4 MOV M4V 파일을 앱 창에 드래그하거나 앱 아이콘 위에 드롭한 뒤 프리셋을 고르고 START를 누르면 압축이 시작됩니다.,4
